Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
Canara Robeco Income Fund - Direct Plan - Growth Plan,Direct Plan,Medium to Long Duration Fund,5,121.43,0.0008,-0.0053,0.016,0.0431,0.0421,0.084,0.0803,0.0776,0.057699999999999994,0.0757
Edelweiss Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,10027.89,0.0216,0.0584,0.1726,0.0308,0.0334,0.1144,0.34619999999999995,0.3379,0.3578,0.19579999999999997
Motilal Oswal Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,30401.09,0.0208,0.0504,0.1483,-0.0682,-0.0659,0.0998,0.35359999999999997,0.36840000000000006,0.38420000000000004,0.1916
DSP Natural Resources and New Energy Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,5,1291.71,0.0176,0.023399999999999997,0.061399999999999996,0.056900000000000006,0.056900000000000006,-0.0225,0.2463,0.2621,0.2901,0.1812
Canara Robeco Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,5,455.42,0.0012,0.0024,0.0254,0.0483,0.0482,0.08960000000000001,0.07980000000000001,0.0747,0.0599,0.0732
Motilal Oswal Ultra Short Term Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,5,572.44,0.001,0.0055000000000000005,0.0172,0.032799999999999996,0.0329,0.0661,0.0666,0.0633,0.0506,0.04190000000000001
DSP Value Fund - Direct Plan - Growth,Direct Plan,Value Fund,5,1001.23,0.0132,0.0259,0.08380000000000001,0.046,0.046,0.1093,0.2302,0.23120000000000002,-,-
ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,Direct Plan,Aggressive Hybrid Fund,4,43159.31,0.0126,0.023,0.08,0.08449999999999999,0.0898,0.1027,0.2373,0.2346,0.2677,0.1661
Kotak Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,4,67362.14,0.0019,0.0064,0.0184,0.037599999999999995,0.0382,0.0775,0.0818,0.07719999999999999,0.0639,0.0652
Edelweiss Arbitrage Fund - Direct Plan - Growth,Direct Plan,Arbitrage Fund,4,15137.02,0.0018,0.0067,0.0183,0.0375,0.038,0.0775,0.08109999999999999,0.0766,0.0635,0.066
Axis Banking & PSU Debt Fund - Direct Plan - Growth,Direct Plan,Banking and PSU Fund,4,13470.4,0.0011,0.0023,0.0265,0.0508,0.0509,0.0933,0.0812,0.0747,0.0621,0.076
Kotak Debt Hybrid Fund - Direct Plan - Growth,Direct Plan,Conservative Hybrid Fund,4,3129.28,0.004699999999999999,0.0004,0.0347,0.0409,0.041299999999999996,0.0819,0.1308,0.1343,0.132,0.1105
SBI Contra Fund - Direct Plan - Growth,Direct Plan,Contra Fund,4,45495.71,0.0191,0.0296,0.09179999999999999,0.0346,0.038,0.0345,0.2437,0.2742,0.34409999999999996,0.16940000000000002
Axis Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,4,8119.15,0.0008,0.0022,0.030699999999999998,0.0567,0.0567,0.1032,0.08960000000000001,0.08439999999999999,0.0712,-
Canara Robeco Corporate Bond Fund - Direct Plan - Growth,Direct Plan,Corporate Bond Fund,4,116.72,0.0005,0.0002,0.0213,0.0446,0.044500000000000005,0.087,0.079,0.0741,0.0602,0.0732
Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,4,993.4,0.0031,0.0074,0.0329,0.0941,0.095,0.1778,0.13119999999999998,0.12269999999999999,0.10439999999999999,0.092
DSP Credit Risk Fund - Direct Plan - Growth,Direct Plan,Credit Risk Fund,4,209.55,0.0012,0.0045000000000000005,0.0321,0.1892,0.1891,0.2403,0.2006,0.15689999999999998,0.124,0.0891
HDFC Balanced Advantage Fund - Direct Plan - Growth,Direct Plan,Dynamic Asset Allocation or Balanced Advantage,4,100299.29,0.013300000000000001,0.0195,0.0785,0.051100000000000007,0.0545,0.0658,0.22760000000000002,0.24050000000000002,0.2575,0.1539
HDFC Dynamic Debt Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,4,849.66,0.0003,-0.009899999999999999,0.0163,0.0443,0.0436,0.0888,0.0861,0.0842,0.0735,0.0733
Canara Robeco Dynamic Bond Fund - Direct Plan - Growth,Direct Plan,Dynamic Bond Fund,4,133.4,0.0001,-0.014499999999999999,0.0111,0.0426,0.0408,0.0795,0.0794,0.07769999999999999,0.056600000000000004,0.0733
Franklin India ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,4,6718.66,0.0183,0.029500000000000002,0.1137,0.0274,0.0321,0.0649,0.2539,0.25730000000000003,0.273,0.1441
DSP ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,4,16973.99,0.017,0.0263,0.0953,0.049100000000000005,0.053099999999999994,0.0775,0.2672,0.2576,0.26890000000000003,0.1699
Edelweiss Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,4,2641.6,0.0212,0.0462,0.1258,0.0248,0.028399999999999998,0.0467,0.247,0.2565,0.267,0.15960000000000002
Franklin India Flexi Cap Fund - Direct - Growth,Direct Plan,Flexi Cap Fund,4,18679.3,0.0178,0.0313,0.11539999999999999,0.036000000000000004,0.0405,0.0707,0.2534,0.2548,0.2763,0.151
Canara Robeco Focused Fund - Direct Plan - Growth,Direct Plan,Focused Fund,4,2615.41,0.019799999999999998,0.045,0.12210000000000001,0.0537,0.0583,0.1198,0.2365,0.2493,-,-
DSP Focused Fund - Direct Plan - Growth,Direct Plan,Focused Fund,4,2576.32,0.0096,0.0127,0.0848,0.0493,0.053,0.0677,0.2457,0.2429,0.2184,0.1291
Tata Gilt Securities Fund - Direct Plan - Appreciation,Direct Plan,Gilt Fund,4,1159.06,-0.0002,-0.0072,0.0229,0.056299999999999996,0.054400000000000004,0.10220000000000001,0.0911,0.0891,0.061900000000000004,0.0771
Edelweiss Government Securities Fund - Direct Plan - Growth,Direct Plan,Gilt Fund,4,182.37,-0.0003,-0.0132,0.0116,0.042300000000000004,0.0409,0.0849,0.0876,0.08410000000000001,0.0689,0.0836
HDFC BSE Sensex Index Fund - Direct Plan,Direct Plan,Index Funds/ETFs,4,8459.49,0.0217,0.030600000000000002,0.1066,0.0725,0.0776,0.0629,0.1479,0.1766,0.19949999999999998,0.1265
HDFC Nifty 50 Index Fund - Direct Plan,Direct Plan,Index Funds/ETFs,4,20409.32,0.0213,0.0344,0.1072,0.08220000000000001,0.0867,0.0676,0.16399999999999998,0.18510000000000001,0.2072,0.12689999999999999
SBI Large & Midcap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,31295.56,0.0287,0.0443,0.1108,0.058899999999999994,0.0641,0.0754,0.2152,0.24350000000000002,0.2696,0.1547
Motilal Oswal Large and Midcap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,10840.4,0.0254,0.0285,0.2057,-0.01,-0.0053,0.1663,0.3479,0.3607,0.3218,-
Nippon India Vision Large & Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,5896.53,0.0218,0.0395,0.1166,0.0374,0.0435,0.0691,0.26940000000000003,0.2682,0.27449999999999997,0.13470000000000001
DSP Large & Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,15012.64,0.0159,0.0282,0.09390000000000001,0.042199999999999994,0.0455,0.0588,0.2712,0.2668,0.26030000000000003,0.16579999999999998
