Historical Returns - Mutual fund screener| Mutual Fund Screening and Analysis Tool - Moneycontrol.com,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
DSP Focused Fund - Direct Plan - Growth,Direct Plan,Focused Fund,4,2576.32,0.008,0.0034999999999999996,0.129,0.07629999999999999,0.0582,0.0613,0.24480000000000002,0.22870000000000001,0.213,0.12990000000000002
HDFC Focused Fund - Direct Plan - Growth,Direct Plan,Focused Fund,5,19577.58,0.0024,0.0146,0.1199,0.1002,0.07730000000000001,0.10279999999999999,0.27,0.2743,0.302,0.15810000000000002
ICICI Prudential Focused Equity Fund - Direct Plan - Growth,Direct Plan,Focused Fund,5,11666.69,0.0021,0.0092,0.1505,0.1255,0.094,0.091,0.2813,0.2683,0.2741,0.1636
Mahindra Manulife Focused Fund - Direct Plan - Growth,Direct Plan,Focused Fund,4,2186.31,-0.0032,0.0048,0.1243,0.0885,0.0596,0.018000000000000002,0.2608,0.2506,-,-
Canara Robeco Focused Fund - Direct Plan - Growth,Direct Plan,Focused Fund,4,2743.48,-0.006,0.0152,0.1518,0.0759,0.048499999999999995,0.1048,0.23120000000000002,0.22899999999999998,-,-
JM Focused Fund - (Direct) - Growth,Direct Plan,Focused Fund,4,290.36,-0.009300000000000001,0.0022,0.1197,0.0021,-0.0282,-0.0073,0.2214,0.2314,0.2184,0.14400000000000002
ICICI Prudential Gilt Fund - Direct Plan - Growth,Direct Plan,Gilt Fund,5,7275.51,0.0004,0.0017000000000000001,0.0179,0.054900000000000004,0.0565,0.0998,0.0924,0.09390000000000001,0.06849999999999999,0.08800000000000001
Franklin India Government Securities Fund - Direct - Growth,Direct Plan,Gilt Fund,5,155.21,-0.0002,-0.0022,0.0031,0.0381,0.0405,0.083,0.0746,0.069,0.049100000000000005,0.0669
Tata Gilt Securities Fund - Direct Plan - Appreciation,Direct Plan,Gilt Fund,4,1149.08,-0.0006,0.0004,0.0141,0.053899999999999997,0.0546,0.0986,0.0919,0.0892,0.0603,0.0767
Baroda BNP Paribas Gilt Fund - Direct Plan - Growth,Direct Plan,Gilt Fund,4,1644.62,-0.0006,0.0007000000000000001,0.0154,0.054400000000000004,0.0558,0.10369999999999999,0.0916,0.0888,0.0605,0.0756
PGIM India Gilt Fund - Direct Plan - Growth,Direct Plan,Gilt Fund,4,115.32,-0.0015,0,0.0062,0.043899999999999995,0.044800000000000006,0.08689999999999999,0.08960000000000001,0.08289999999999999,0.063,0.0771
Edelweiss Government Securities Fund - Direct Plan - Growth,Direct Plan,Gilt Fund,4,174.62,-0.0016,-0.0008,0.0032,0.039599999999999996,0.04019999999999999,0.0808,0.0872,0.08289999999999999,0.0672,0.0827
HDFC BSE Sensex Index Fund - Direct Plan,Direct Plan,Index Funds/ETFs,4,8645.13,-0.0001,0.012,0.133,0.08220000000000001,0.0716,0.0508,0.13949999999999999,0.16269999999999998,0.1894,0.1272
HDFC Nifty 50 Index Fund - Direct Plan,Direct Plan,Index Funds/ETFs,4,21042.72,-0.0016,0.012,0.1373,0.0891,0.07919999999999999,0.0521,0.1552,0.1704,0.19760000000000003,0.1273
SBI Nifty Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,5,10166.67,-0.0016,0.012,0.1373,0.08900000000000001,0.0791,0.0521,0.15539999999999998,0.1707,0.1975,0.1264
SBI Large & Midcap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,33031.14,0.0076,0.0248,0.16,0.09939999999999999,0.0723,0.0747,0.2187,0.23199999999999998,0.2667,0.156
Motilal Oswal Large and Midcap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,10840.4,0.0015,0.0064,0.26890000000000003,0.0455,-0.0109,0.1525,0.3432,0.3394,0.3156,-
DSP Large & Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,4,15012.64,0.0007000000000000001,0.0042,0.1335,0.0747,0.0438,0.04190000000000001,0.264,0.24960000000000002,0.25420000000000004,0.16510000000000002
