Scheme Name,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y,Category,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio
DSP Aggressive Hybrid Fund - Direct Plan - Growth,11104.36,0.0089,0.0141,0.0751,0.0603,0.0645,0.1091,0.2073,0.2153,0.1991,0.1387,Aggressive Hybrid Fund,8.19,0.78,1.79,6.67,0.19
DSP Arbitrage fund - Direct Plan - Growth,6473.7,0.0017,0.0062,0.0176,0.0362,0.0366,0.0756,0.0787,0.0748,0.0605,-,Arbitrage Fund,0.87,0.48,1.88,0.94,0.03
DSP Bond Fund - Direct Plan - Growth,312.37,0.0008,0.0001,0.0285,0.0571,0.0573,0.1006,0.0864,0.0822,0.06309999999999999,0.0687,Medium Duration Fund,0.99,0.66,2.42,1.11,0.04
DSP Credit Risk Fund - Direct Plan - Growth,209.55,0.0012,0.0045,0.0321,0.1892,0.1891,0.2403,0.2006,0.1568999999999999,0.124,0.0891,Credit Risk Fund,6.46,0.23,1.43,8.66,0.4
DSP ELSS Tax Saver Fund - Direct Plan - Growth,16973.99,0.017,0.0263,0.0953,0.0491,0.0530999999999999,0.0775,0.2672,0.2576,0.26890000000000003,0.1699,ELSS,11.6,0.95,1.6,4.02,0.19
DSP Focused Fund - Direct Plan - Growth,2576.32,0.0096,0.0127,0.0848,0.0493,0.053,0.0677,0.2457,0.2429,0.2184,0.1291,Focused Fund,12.0,0.94,1.48,3.4,0.19
DSP Large & Mid Cap Fund - Direct Plan - Growth,15012.64,0.0159,0.0282,0.0939,0.0421999999999999,0.0455,0.0588,0.2712,0.2668,0.26030000000000003,0.16579999999999998,Large & Mid Cap Fund,11.74,0.92,1.65,3.03,0.21
DSP Large Cap Fund - Direct Plan - Growth,6036.43,0.0093999999999999,0.0172,0.0837,0.0661,0.0702,0.1009999999999999,0.2318,0.239,0.2181,0.1251,Large Cap Fund,10.31,0.86,1.65,6.27,0.2
DSP Liquidity Fund - Direct Plan - Growth,17751.61,0.0012,0.0053,0.0169,0.0355,0.0356999999999999,0.073,0.0733,0.0704,0.055999999999999994,0.06309999999999999,,,,,,
DSP Low Duration Fund - Direct Plan - Growth,5229.96,0.0013,0.006,0.0231,0.0435,0.0438,0.0828999999999999,0.0781,0.0742999999999999,0.0603,0.0713,Low Duration Fund,0.26,0.86,6.22,0.05,0.02
DSP Natural Resources and New Energy Fund - Direct Plan - Growth,1291.71,0.0176,0.0233999999999999,0.0613999999999999,0.0569,0.0569,-0.0225,0.2463,0.2621,0.2901,0.1812,Sectoral/Thematic,15.59,1,1.23,6.66,0.19
DSP Regular Savings Fund - Direct Plan - Growth,173.25,0.0024,0.0048,0.0302999999999999,0.0521999999999999,0.0532,0.0993999999999999,0.1217,0.1171,0.107,0.0842,Conservative Hybrid Fund,2.76,0.77,2.07,2.39,0.07
DSP Savings Fund - Direct Plan - Growth,4517.13,0.0016,0.0069999999999999,0.0210999999999999,0.0407,0.0409999999999999,0.0788,0.0767,0.074,0.058600000000000006,0.0655,Money Market Fund,0.2,1.04,7.91,0.09,0.02
DSP Ultra Short Fund - Direct Plan - Growth,4010.78,0.0015,0.0067,0.0208,0.0424,0.0426999999999999,0.0813,0.0788,0.0747,0.059699999999999996,0.0663,Ultra Short Duration Fund,0.21,0.83,8.01,0.38,0.02
DSP Value Fund - Direct Plan - Growth,1001.23,0.0132,0.0259,0.0838,0.046,0.046,0.1093,0.2302,0.2312,-,-,Value Fund,8.14,-,1.97,-,-
Edelweiss Aggressive Hybrid Fund - Direct Plan - Growth,2749.34,0.0166,0.0327,0.0953,0.0533,0.0581,0.1028999999999999,0.2255,0.2362999999999999,0.2378,0.1421,Aggressive Hybrid Fund,8.82,0.87,1.83,7.28,0.19
Edelweiss Arbitrage Fund - Direct Plan - Growth,15137.02,0.0018,0.0067,0.0183,0.0375,0.038,0.0775,0.0810999999999999,0.0766,0.0635,0.066,Arbitrage Fund,0.85,0.51,2.14,1.07,0.04
Edelweiss Flexi Cap Fund - Direct Plan - Growth,2641.6,0.0212,0.0462,0.1258,0.0248,0.0283999999999999,0.0467,0.247,0.2565,0.267,0.15960000000000002,Flexi Cap Fund,12.11,0.99,1.51,3.11,0.18
Edelweiss Government Securities Fund - Direct Plan - Growth,182.37,-0.0003,-0.0132,0.0116,0.0423,0.0409,0.0849,0.0876,0.0841,0.0689,0.0836,Gilt Fund,2.4,2.15,1.06,-1.71,0.01
Edelweiss Large Cap Fund - Direct Plan - Growth,1270.97,0.0207,0.0329,0.1043,0.0565,0.0622,0.0571,0.1957999999999999,0.2249,0.2274,0.1387,Large Cap Fund,10.91,0.93,1.42,3.5,0.17
Edelweiss Mid Cap Fund - Direct Plan - Growth,10027.89,0.0216,0.0584,0.1726,0.0308,0.0334,0.1144,0.3461999999999999,0.3379,0.3578,0.19579999999999997,Mid Cap Fund,14.04,0.94,1.78,3.82,0.27
Edelweiss Small Cap Fund - Direct Plan - Growth,4580.06,0.0289,0.0603,0.1681,-0.0031,0.0033,0.0536,0.2681,0.2919,0.3661,-,Small Cap Fund,13.19,0.79,1.61,3.12,0.27
Franklin India ELSS Tax Saver Fund - Direct Plan - Growth,6718.66,0.0183,0.0295,0.1137,0.0274,0.0321,0.0649,0.2539,0.2573,0.273,0.1441,ELSS,11.13,0.91,1.65,5.32,0.2
Franklin India Flexi Cap Fund - Direct - Growth,18679.3,0.0178,0.0313,0.1153999999999999,0.036,0.0405,0.0707,0.2534,0.2548,0.2763,0.151,Flexi Cap Fund,11.01,0.9,1.65,5.23,0.2
Franklin India Government Securities Fund - Direct - Growth,155.86,-0.0008,-0.0109,0.0129,0.0407,0.0406,0.0863,0.0741,0.0701,0.050300000000000004,0.0676,Gilt Fund,1.32,0.27,0.98,0.19,0.05
Franklin India Prima Fund - Direct - Growth,12285.44,0.0260999999999999,0.0483,0.1391,0.0213,0.0243999999999999,0.0762999999999999,0.2958,0.3062,0.2866,0.165,Mid Cap Fund,12.92,0.88,1.74,3.28,0.26
HDFC BSE Sensex Index Fund - Direct Plan,8459.49,0.0217,0.0306,0.1066,0.0725,0.0776,0.0629,0.1479,0.1766,0.19949999999999998,0.1265,Index Funds/ETFs,11.16,0.99,1.02,-0.19,0.12
HDFC Balanced Advantage Fund - Direct Plan - Growth,100299.29,0.0133,0.0195,0.0785,0.0511,0.0545,0.0658,0.2276,0.2405,0.2575,0.1539,Dynamic Asset Allocation or Balanced Advantage,8.16,0.99,2.02,8.19,0.17
HDFC Dynamic Debt Fund - Direct Plan - Growth,849.66,0.0003,-0.0098999999999999,0.0163,0.0443,0.0436,0.0888,0.0861,0.0842,0.0735,0.0733,Dynamic Bond Fund,1.54,0.74,1.63,0.6,0.03
HDFC ELSS Tax saver - Direct Plan - Growth,16453.67,0.0136,0.0302999999999999,0.1055,0.0771,0.0810999999999999,0.0901,0.2694,0.2757,0.27949999999999997,0.1442,ELSS,10.25,0.81,1.91,7.12,0.24
